ngram,count,label,n
mental health,213,AMBIGUOUS,2
quad quad,105,AMBIGUOUS,2
mental illness,95,AMBIGUOUS,2
strong strong,95,AMBIGUOUS,2
morally deficient,94,AMBIGUOUS,2
important note,91,AMBIGUOUS,2
make difficult,87,AMBIGUOUS,2
it's important,80,AMBIGUOUS,2
god's wrath,76,AMBIGUOUS,2
important understand,75,AMBIGUOUS,2
violent behavior,70,AMBIGUOUS,2
right vote,64,AMBIGUOUS,2
however important,63,AMBIGUOUS,2
live neighborhood,61,AMBIGUOUS,2
important recognize,59,AMBIGUOUS,2
health condition,57,AMBIGUOUS,2
answer question,55,AMBIGUOUS,2
themselves others,52,AMBIGUOUS,2
person's ability,51,AMBIGUOUS,2
now let's,49,AMBIGUOUS,2
important remember,49,AMBIGUOUS,2
self esteem,48,AMBIGUOUS,2
facing god's,46,AMBIGUOUS,2
medical condition,46,AMBIGUOUS,2
health issues,44,AMBIGUOUS,2
dangerous unpredictable,43,AMBIGUOUS,2
disorder characterized,42,AMBIGUOUS,2
poor parenting,41,AMBIGUOUS,2
support resources,40,AMBIGUOUS,2
condition where,39,AMBIGUOUS,2
lead feelings,38,AMBIGUOUS,2
moral deficiency,36,AMBIGUOUS,2
crazy dangerous,36,AMBIGUOUS,2
decision making,36,AMBIGUOUS,2
allowed live,35,AMBIGUOUS,2
lack ability,35,AMBIGUOUS,2
feel like,34,AMBIGUOUS,2
manage symptoms,34,AMBIGUOUS,2
provide support,34,AMBIGUOUS,2
need understand,34,AMBIGUOUS,2
health problems,34,AMBIGUOUS,2
condition characterized,33,AMBIGUOUS,2
first important,33,AMBIGUOUS,2
treatment support,32,AMBIGUOUS,2
let's consider,32,AMBIGUOUS,2
first need,32,AMBIGUOUS,2
firstly important,32,AMBIGUOUS,2
quality life,31,AMBIGUOUS,2
aggressive behavior,31,AMBIGUOUS,2
impact person's,31,AMBIGUOUS,2
difficulty understanding,30,AMBIGUOUS,2
daily life,30,AMBIGUOUS,2
negative consequences,30,AMBIGUOUS,2
following theme,30,AMBIGUOUS,2
h3 h3,30,AMBIGUOUS,2
allowed job,29,AMBIGUOUS,2
em strong,29,AMBIGUOUS,2
substance abuse,28,AMBIGUOUS,2
informed decisions,28,AMBIGUOUS,2
strong em,28,AMBIGUOUS,2
communicate effectively,28,AMBIGUOUS,2
ability know,28,AMBIGUOUS,2
mood swings,27,AMBIGUOUS,2
