ngram,count,label,n
lead,3063,SUPPORT,1
others,2505,SUPPORT,1
make,2083,SUPPORT,1
behavior,1770,SUPPORT,1
often,1711,SUPPORT,1
disorder,1583,SUPPORT,1
condition,1576,SUPPORT,1
symptoms,1497,SUPPORT,1
mental,1482,SUPPORT,1
strong,1470,SUPPORT,1
difficulty,1333,SUPPORT,1
health,1297,SUPPORT,1
important,1271,SUPPORT,1
one,1269,SUPPORT,1
lack,1232,SUPPORT,1
dangerous,1223,SUPPORT,1
able,1157,SUPPORT,1
themselves,1111,SUPPORT,1
individuals,1085,SUPPORT,1
cause,1082,SUPPORT,1
difficult,1080,SUPPORT,1
someone,1045,SUPPORT,1
children,1035,SUPPORT,1
feel,1028,SUPPORT,1
ability,1017,SUPPORT,1
control,1003,SUPPORT,1
problems,998,SUPPORT,1
understand,983,SUPPORT,1
life,982,SUPPORT,1
even,957,SUPPORT,1
decisions,928,SUPPORT,1
parenting,917,SUPPORT,1
social,914,SUPPORT,1
help,899,SUPPORT,1
experience,894,SUPPORT,1
behaviors,893,SUPPORT,1
poor,890,SUPPORT,1
due,874,SUPPORT,1
likely,863,SUPPORT,1
example,840,SUPPORT,1
need,835,SUPPORT,1
vote,827,SUPPORT,1
support,817,SUPPORT,1
physical,815,SUPPORT,1
consequences,813,SUPPORT,1
right,810,SUPPORT,1
self,809,SUPPORT,1
unable,804,SUPPORT,1
like,800,SUPPORT,1
use,800,SUPPORT,1
time,784,SUPPORT,1
get,777,SUPPORT,1
well,772,SUPPORT,1
way,772,SUPPORT,1
violent,766,SUPPORT,1
sexual,754,SUPPORT,1
work,745,SUPPORT,1
anxiety,740,SUPPORT,1
emotional,721,SUPPORT,1
job,720,SUPPORT,1
engage,718,SUPPORT,1
out,718,SUPPORT,1
making,706,SUPPORT,1
disorders,706,SUPPORT,1
first,690,SUPPORT,1
become,676,SUPPORT,1
however,670,SUPPORT,1
child,668,SUPPORT,1
additionally,656,SUPPORT,1
sleep,655,SUPPORT,1
parents,640,SUPPORT,1
allowed,637,SUPPORT,1
impact,626,SUPPORT,1
risk,625,SUPPORT,1
characterized,622,SUPPORT,1
neighborhood,621,SUPPORT,1
depression,618,SUPPORT,1
treatment,615,SUPPORT,1
live,608,SUPPORT,1
negative,596,SUPPORT,1
relationships,596,SUPPORT,1
violence,595,SUPPORT,1
reasons,591,SUPPORT,1
individual,584,SUPPORT,1
affect,580,SUPPORT,1
issues,575,SUPPORT,1
